Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CSEBA5U23C8S,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,1
5CSEBA5U23C8,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U23C7S,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,1
5CSEBA5U23C7,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U23C6,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U23A7,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U19I7S,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,1
5CSEBA5U19I7L,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U19I7,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U19C8S,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,1
5CSEBA5U19C8,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U19C7S,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,1
5CSEBA5U19C7,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U19C6,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U19A7,1.1V,32070,205,205,0,0,0,1,4065280,87,6,4,16,2
5CSEBA4U23I7S,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,1
5CSEBA4U23I7L,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U23I7,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U23C8S,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,1
5CSEBA4U23C8,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U23C7S,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,1
5CSEBA4U23C7,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U23C6,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U23A7,1.1V,15880,314,314,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U19I7S,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,1
5CSEBA4U19I7L,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U19I7,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U19C8S,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,1
5CSEBA4U19C8,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U19C7S,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,1
5CSEBA4U19C7,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U19C6,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,2
5CSEBA4U19A7,1.1V,15880,205,205,0,0,0,1,2764800,84,5,4,16,2
5CSEBA2U23I7S,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,1
5CSEBA2U23I7L,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U23I7,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U23C8S,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,1
5CSEBA2U23C8,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U23C7S,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,1
5CSEBA2U23C7,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U23C6,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U23A7,1.1V,9430,314,314,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U19I7S,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,1
5CSEBA2U19I7L,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U19I7,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U19C8S,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,1
